time,open,high,low,close,tick_volume,spread,real_volume
2026-05-14 13:35:00,4681.717,4684.673,4680.346,4682.748,1213,280,0
2026-05-14 13:40:00,4682.809,4683.245,4666.469,4676.757,3707,280,0
2026-05-14 13:45:00,4676.903,4690.411,4675.884,4689.181,3118,280,0
2026-05-14 13:50:00,4689.248,4691.033,4680.525,4685.014,2359,280,0
2026-05-14 13:55:00,4685.238,4686.697,4679.095,4679.71,1948,280,0
2026-05-14 14:00:00,4679.649,4689.004,4677.551,4685.916,2630,280,0
2026-05-14 14:05:00,4685.977,4686.96,4680.716,4685.487,2188,280,0
2026-05-14 14:10:00,4685.844,4690.376,4685.146,4687.443,1594,280,0
2026-05-14 14:15:00,4687.399,4695.179,4686.618,4694.451,1556,280,0
2026-05-14 14:20:00,4694.516,4700.953,4693.602,4694.952,1554,280,0
2026-05-14 14:25:00,4695.086,4695.158,4688.265,4691.28,1535,280,0
2026-05-14 14:30:00,4691.349,4692.203,4686.94,4688.275,1053,280,0
2026-05-14 14:35:00,4688.337,4690.521,4686.064,4690.075,1065,280,0
2026-05-14 14:40:00,4689.781,4692.333,4686.005,4686.693,1102,280,0
2026-05-14 14:45:00,4686.75,4689.126,4684.829,4687.294,1136,280,0
2026-05-14 14:50:00,4687.222,4690.534,4682.85,4685.411,1335,280,0
2026-05-14 14:55:00,4685.469,4688.409,4679.276,4679.638,1417,280,0
2026-05-14 15:00:00,4679.582,4682.609,4676.758,4678.372,1739,280,0
2026-05-14 15:05:00,4678.441,4683.495,4677.9,4683.493,1157,280,0
2026-05-14 15:10:00,4683.455,4686.861,4682.133,4684.986,994,280,0
2026-05-14 15:15:00,4684.763,4688.735,4684.236,4687.322,831,280,0
2026-05-14 15:20:00,4687.265,4687.829,4683.947,4686.047,919,280,0
2026-05-14 15:25:00,4685.989,4689.362,4685.346,4685.954,738,280,0
2026-05-14 15:30:00,4686.019,4688.779,4684.619,4688.484,774,280,0
2026-05-14 15:35:00,4688.848,4688.973,4684.93,4686.567,801,280,0
2026-05-14 15:40:00,4686.286,4687.238,4681.155,4682.46,845,280,0
2026-05-14 15:45:00,4682.697,4683.609,4681.027,4683.261,742,280,0
2026-05-14 15:50:00,4683.342,4685.116,4681.309,4684.521,749,280,0
2026-05-14 15:55:00,4684.462,4686.69,4683.206,4685.984,732,280,0
2026-05-14 16:00:00,4685.629,4686.973,4678.062,4679.119,983,280,0
2026-05-14 16:05:00,4679.041,4679.512,4674.502,4677.309,1087,286,0
2026-05-14 16:10:00,4677.303,4679.217,4673.92,4678.439,847,280,0
2026-05-14 16:15:00,4678.661,4681.329,4678.459,4679.741,567,280,0
2026-05-14 16:20:00,4679.699,4680.625,4676.811,4677.509,632,280,0
2026-05-14 16:25:00,4677.76,4678.14,4675.191,4677.275,794,280,0
2026-05-14 16:30:00,4677.126,4678.447,4673.7,4674.46,814,280,0
2026-05-14 16:35:00,4674.228,4675.171,4670.191,4672.973,1037,280,0
2026-05-14 16:40:00,4673.034,4675.803,4672.539,4675.266,753,280,0
2026-05-14 16:45:00,4675.54,4676.794,4672.527,4676.131,769,280,0
2026-05-14 16:50:00,4676.055,4678.526,4675.192,4677.367,502,280,0
